sensor_index,latitude,longitude,pressure,pm2_5_atm_a,pm2_5_atm_b,humidity_a,temperature_a,location_type,pm1_0_atm_a,pm1_0_atm_b,scattering_coefficient_a,scattering_coefficient_b
892070,43.398484,-76.973832,1002,20.82,14.68,56,26,2,24.75,1.78,92.67,13.61
374385,70.1550055,26.126358,929,8.18,0.5,78,-6,1,10.06,19.35,92.15,81.26
30650,47.574232,73.258940,994,13.54,28.78,50,41,0,10.82,23.36,25.02,20.94
134846,-55.097291,-82.603687,913,2.21,23.38,55,40,2,23.34,40.45,92.13,80.06
102569,-24.7121675,179.515863,977,13.54,32.94,42,38,0,40.08,0.16,4.16,8.62
47366,-73.3683415,51.701396,929,39.92,20.59,63,26,1,19.75,10.04,49.43,65.45
439691,47.4402655,-114.262879,971,14.25,34.63,30,42,0,5.21,34.3,59.54,9.74
183450,-87.0879215,-113.779235,1031,20.11,1.63,58,48,0,44.8,10.63,15.45,34.07
579565,-56.256953,120.429963,1010,24.91,39.59,30,-6,0,35.45,8.22,21.07,38.61
755837,1.940211,115.785346,1044,12.12,17.16,43,10,2,39.94,2.37,84.32,33.17
40346,-25.7740775,-86.437573,998,9.31,13.13,75,-3,2,8.18,16.08,47.67,99.55
285151,-60.876825,-2.273803,1011,3.09,11.08,57,-2,2,18.61,5.3,45.96,33.57
232849,18.317878,37.169077,973,32.92,5.74,34,41,0,10.24,47.38,82.76,28.79
324916,10.486520,134.138885,953,28.82,6.84,72,45,2,31.01,13.95,19.5,89.55
524572,-23.8873355,29.303188,1020,6.19,9.7,40,35,2,39.08,0.95,70.71,84.95
71467,-7.6082905,-145.562082,906,9.82,25.1,42,-1,1,40.23,47.74,45.92,36.0
20944,-7.1936335,-73.325546,1045,13.04,21.7,67,30,2,30.79,23.27,32.49,98.19
799191,-76.0031595,51.311930,960,11.34,35.55,58,41,0,29.74,27.36,31.59,53.62
861747,89.6635965,-101.121003,963,18.65,5.0,42,34,0,7.06,6.28,11.54,41.66
315733,-73.6344305,-69.376727,1047,9.13,30.42,54,15,2,8.61,26.68,62.69,36.08
767653,57.328026,-118.386282,962,12.67,5.99,49,27,2,10.06,3.38,67.16,58.27
700724,39.155987,98.907233,953,13.03,19.22,64,29,1,28.02,14.6,13.31,66.42
786206,13.2945075,105.459300,915,32.36,28.7,62,10,0,15.74,46.76,3.61,60.46
616762,75.778708,-156.105040,958,2.78,36.46,68,47,1,21.67,12.9,38.71,64.48
286331,69.748172,37.094433,1038,24.94,6.78,20,1,1,3.54,15.8,43.69,90.52
202580,17.3831465,-178.556618,908,24.02,12.39,57,16,1,24.38,30.43,25.44,75.52
94423,61.647926,-7.448473,1004,8.7,8.14,41,29,2,47.0,10.93,65.21,39.81
795830,70.953923,129.074580,986,11.12,6.73,62,46,1,2.15,32.58,21.01,66.78
673874,-52.621877,-162.302664,1035,30.23,6.88,71,49,0,22.23,19.63,68.03,30.69
946405,-86.141286,165.601676,949,15.6,13.43,47,26,2,23.03,40.73,92.21,52.12
190602,32.3998765,-163.926140,1042,31.01,0.75,23,14,2,34.41,22.26,2.64,50.89
457571,39.4109435,-173.616680,913,14.16,18.07,41,-2,2,43.44,2.0,97.46,65.37
53286,22.983360,-111.482316,926,16.72,9.56,43,6,0,30.91,18.9,39.46,10.0
811193,-20.9346405,106.135414,960,9.65,5.55,71,4,1,17.27,2.2,65.65,79.03
671614,36.429561,87.297017,971,34.32,21.76,52,-7,2,32.73,37.96,90.83,68.61
557652,-76.9470045,-90.571247,986,34.55,10.57,61,4,0,49.2,45.83,83.7,75.3
400413,-15.7208515,104.364907,962,33.47,14.36,75,40,0,14.08,5.27,19.74,88.97
494012,-85.7992535,-165.604053,983,8.05,33.67,28,36,1,45.83,7.03,76.07,46.87
869345,81.183276,12.869804,1037,23.79,22.44,56,23,2,3.07,26.62,79.41,93.08
575736,87.968021,151.493718,907,10.01,10.12,36,-9,0,11.93,39.81,65.05,84.7
564430,-55.217077,7.201044,1004,14.3,32.87,55,45,1,18.57,27.31,15.18,27.49
415939,-60.1032965,-52.549055,919,1.1,27.81,20,47,0,26.94,5.79,46.31,13.17
